RUN	simulations.RetrySimulation	retrysimulation	1555052678288	 	3.0.3
USER	Retry scenario	99	END	1555052704544	1555052727947
USER	Retry scenario	325	START	1555052728015	1555052728015
USER	Retry scenario	326	START	1555052728095	1555052728095
USER	Retry scenario	327	START	1555052728175	1555052728175
USER	Retry scenario	328	START	1555052728253	1555052728253
USER	Retry scenario	329	START	1555052728325	1555052728325
USER	Retry scenario	330	START	1555052728404	1555052728404
USER	Retry scenario	331	START	1555052728483	1555052728483
REQUEST	103		retry	1555052705114	1555052728568	OK	 
USER	Retry scenario	103	END	1555052705114	1555052728569
USER	Retry scenario	332	START	1555052728574	1555052728574
USER	Retry scenario	333	START	1555052728656	1555052728656
USER	Retry scenario	334	START	1555052728736	1555052728736
USER	Retry scenario	335	START	1555052728826	1555052728826
USER	Retry scenario	336	START	1555052728905	1555052728905
USER	Retry scenario	337	START	1555052728985	1555052728985
USER	Retry scenario	338	START	1555052729074	1555052729074
USER	Retry scenario	339	START	1555052729155	1555052729155
USER	Retry scenario	340	START	1555052729235	1555052729235
REQUEST	107		retry	1555052705655	1555052729241	OK	 
USER	Retry scenario	107	END	1555052705655	1555052729241
USER	Retry scenario	341	START	1555052729325	1555052729325
USER	Retry scenario	342	START	1555052729403	1555052729403
USER	Retry scenario	343	START	1555052729484	1555052729484
USER	Retry scenario	344	START	1555052729554	1555052729554
USER	Retry scenario	345	START	1555052729633	1555052729633
USER	Retry scenario	346	START	1555052729713	1555052729713
USER	Retry scenario	347	START	1555052729783	1555052729783
USER	Retry scenario	348	START	1555052729865	1555052729865
USER	Retry scenario	349	START	1555052729944	1555052729944
USER	Retry scenario	350	START	1555052730013	1555052730013
REQUEST	97		retry	1555052704234	1555052730016	OK	 
USER	Retry scenario	97	END	1555052704233	1555052730016
USER	Retry scenario	351	START	1555052730094	1555052730094
USER	Retry scenario	352	START	1555052730175	1555052730175
USER	Retry scenario	353	START	1555052730255	1555052730255
USER	Retry scenario	354	START	1555052730325	1555052730325
REQUEST	111		retry	1555052706153	1555052730336	OK	 
REQUEST	102		retry	1555052704974	1555052730337	OK	 
USER	Retry scenario	111	END	1555052706153	1555052730337
USER	Retry scenario	102	END	1555052704973	1555052730337
USER	Retry scenario	355	START	1555052730403	1555052730403
USER	Retry scenario	356	START	1555052730473	1555052730473
USER	Retry scenario	357	START	1555052730556	1555052730556
USER	Retry scenario	358	START	1555052730635	1555052730635
USER	Retry scenario	359	START	1555052730705	1555052730705
USER	Retry scenario	360	START	1555052730784	1555052730784
REQUEST	106		retry	1555052705526	1555052730838	OK	 
USER	Retry scenario	106	END	1555052705525	1555052730839
USER	Retry scenario	361	START	1555052730863	1555052730863
USER	Retry scenario	362	START	1555052730935	1555052730935
USER	Retry scenario	363	START	1555052731014	1555052731014
USER	Retry scenario	364	START	1555052731093	1555052731093
REQUEST	115		retry	1555052706685	1555052731147	OK	 
USER	Retry scenario	115	END	1555052706684	1555052731147
REQUEST	100		retry	1555052704686	1555052731174	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Retry scenario	365	START	1555052731174	1555052731174
USER	Retry scenario	100	END	1555052704685	1555052731175
USER	Retry scenario	366	START	1555052731245	1555052731245
USER	Retry scenario	367	START	1555052731325	1555052731325
USER	Retry scenario	368	START	1555052731403	1555052731403
USER	Retry scenario	369	START	1555052731484	1555052731484
REQUEST	110		retry	1555052706024	1555052731546	OK	 
USER	Retry scenario	110	END	1555052706023	1555052731546
USER	Retry scenario	370	START	1555052731554	1555052731554
USER	Retry scenario	371	START	1555052731634	1555052731634
USER	Retry scenario	372	START	1555052731714	1555052731714
USER	Retry scenario	373	START	1555052731784	1555052731784
USER	Retry scenario	374	START	1555052731865	1555052731865
USER	Retry scenario	375	START	1555052731944	1555052731944
REQUEST	119		retry	1555052707257	1555052732009	OK	 
USER	Retry scenario	119	END	1555052707256	1555052732010
USER	Retry scenario	376	START	1555052732013	1555052732013
USER	Retry scenario	377	START	1555052732094	1555052732094
USER	Retry scenario	378	START	1555052732174	1555052732174
USER	Retry scenario	379	START	1555052732255	1555052732255
USER	Retry scenario	380	START	1555052732323	1555052732323
USER	Retry scenario	381	START	1555052732404	1555052732404
USER	Retry scenario	382	START	1555052732473	1555052732473
REQUEST	114		retry	1555052706544	1555052732518	OK	 
USER	Retry scenario	114	END	1555052706543	1555052732519
USER	Retry scenario	383	START	1555052732544	1555052732544
USER	Retry scenario	384	START	1555052732614	1555052732614
REQUEST	104		retry	1555052705254	1555052732660	OK	 
USER	Retry scenario	104	END	1555052705253	1555052732661
USER	Retry scenario	385	START	1555052732683	1555052732683
REQUEST	123		retry	1555052707776	1555052732752	OK	 
USER	Retry scenario	123	END	1555052707775	1555052732753
USER	Retry scenario	386	START	1555052732753	1555052732753
REQUEST	241		retry	1555052720705	1555052732769	KO	i.n.c.AbstractChannel$AnnotatedSocketException: Connection reset by peer: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	241	END	1555052720705	1555052732770
USER	Retry scenario	387	START	1555052732835	1555052732835
USER	Retry scenario	388	START	1555052732904	1555052732904
USER	Retry scenario	389	START	1555052732974	1555052732974
USER	Retry scenario	390	START	1555052733044	1555052733044
USER	Retry scenario	391	START	1555052733115	1555052733115
USER	Retry scenario	392	START	1555052733184	1555052733184
USER	Retry scenario	393	START	1555052733253	1555052733253
USER	Retry scenario	394	START	1555052733334	1555052733334
USER	Retry scenario	395	START	1555052733404	1555052733404
USER	Retry scenario	396	START	1555052733474	1555052733474
USER	Retry scenario	397	START	1555052733553	1555052733553
USER	Retry scenario	398	START	1555052733633	1555052733633
USER	Retry scenario	399	START	1555052733715	1555052733715
USER	Retry scenario	400	START	1555052733783	1555052733783
USER	Retry scenario	401	START	1555052733864	1555052733864
USER	Retry scenario	402	START	1555052733945	1555052733945
USER	Retry scenario	403	START	1555052734014	1555052734014
REQUEST	101		retry	1555052704825	1555052734038	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Retry scenario	101	END	1555052704824	1555052734039
USER	Retry scenario	404	START	1555052734095	1555052734095
REQUEST	127		retry	1555052708274	1555052734105	OK	 
USER	Retry scenario	127	END	1555052708273	1555052734108
USER	Retry scenario	405	START	1555052734175	1555052734175
USER	Retry scenario	406	START	1555052734244	1555052734244
USER	Retry scenario	407	START	1555052734324	1555052734324
USER	Retry scenario	408	START	1555052734405	1555052734405
USER	Retry scenario	409	START	1555052734474	1555052734474
USER	Retry scenario	410	START	1555052734544	1555052734544
USER	Retry scenario	411	START	1555052734613	1555052734613
REQUEST	118		retry	1555052707114	1555052734617	OK	 
USER	Retry scenario	118	END	1555052707113	1555052734618
USER	Retry scenario	412	START	1555052734686	1555052734686
USER	Retry scenario	413	START	1555052734765	1555052734765
USER	Retry scenario	414	START	1555052734833	1555052734833
USER	Retry scenario	415	START	1555052734904	1555052734904
USER	Retry scenario	416	START	1555052734974	1555052734974
USER	Retry scenario	417	START	1555052735044	1555052735044
USER	Retry scenario	418	START	1555052735113	1555052735113
USER	Retry scenario	419	START	1555052735183	1555052735183
USER	Retry scenario	420	START	1555052735264	1555052735264
USER	Retry scenario	421	START	1555052735333	1555052735333
USER	Retry scenario	422	START	1555052735404	1555052735404
USER	Retry scenario	423	START	1555052735464	1555052735464
REQUEST	108		retry	1555052705776	1555052735477	OK	 
USER	Retry scenario	108	END	1555052705775	1555052735478
USER	Retry scenario	424	START	1555052735534	1555052735534
USER	Retry scenario	425	START	1555052735605	1555052735605
USER	Retry scenario	426	START	1555052735664	1555052735664
USER	Retry scenario	427	START	1555052735733	1555052735733
USER	Retry scenario	428	START	1555052735806	1555052735806
USER	Retry scenario	429	START	1555052735865	1555052735865
USER	Retry scenario	430	START	1555052735933	1555052735933
USER	Retry scenario	431	START	1555052736003	1555052736003
USER	Retry scenario	432	START	1555052736063	1555052736063
USER	Retry scenario	433	START	1555052736133	1555052736133
USER	Retry scenario	434	START	1555052736204	1555052736204
USER	Retry scenario	435	START	1555052736265	1555052736265
USER	Retry scenario	436	START	1555052736334	1555052736334
USER	Retry scenario	437	START	1555052736405	1555052736405
USER	Retry scenario	438	START	1555052736473	1555052736473
USER	Retry scenario	439	START	1555052736545	1555052736545
REQUEST	122		retry	1555052707655	1555052736547	OK	 
USER	Retry scenario	122	END	1555052707654	1555052736548
USER	Retry scenario	440	START	1555052736614	1555052736614
REQUEST	131		retry	1555052708776	1555052736667	OK	 
USER	Retry scenario	131	END	1555052708775	1555052736668
USER	Retry scenario	441	START	1555052736683	1555052736683
USER	Retry scenario	442	START	1555052736754	1555052736754
USER	Retry scenario	443	START	1555052736834	1555052736834
USER	Retry scenario	444	START	1555052736905	1555052736905
REQUEST	105		retry	1555052705406	1555052736924	OK	 
USER	Retry scenario	105	END	1555052705405	1555052736925
USER	Retry scenario	445	START	1555052736975	1555052736975
USER	Retry scenario	446	START	1555052737045	1555052737045
USER	Retry scenario	447	START	1555052737115	1555052737115
USER	Retry scenario	448	START	1555052737185	1555052737185
USER	Retry scenario	449	START	1555052737255	1555052737255
USER	Retry scenario	450	START	1555052737333	1555052737333
USER	Retry scenario	451	START	1555052737403	1555052737403
USER	Retry scenario	452	START	1555052737465	1555052737465
USER	Retry scenario	453	START	1555052737534	1555052737534
USER	Retry scenario	454	START	1555052737604	1555052737604
USER	Retry scenario	455	START	1555052737663	1555052737663
REQUEST	109		retry	1555052705904	1555052737733	OK	 
USER	Retry scenario	109	END	1555052705903	1555052737733
USER	Retry scenario	456	START	1555052737734	1555052737734
USER	Retry scenario	457	START	1555052737805	1555052737805
REQUEST	126		retry	1555052708157	1555052737849	OK	 
USER	Retry scenario	126	END	1555052708154	1555052737849
USER	Retry scenario	458	START	1555052737866	1555052737866
USER	Retry scenario	459	START	1555052737936	1555052737936
REQUEST	323		retry	1555052727864	1555052737977	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	323	END	1555052727863	1555052737978
USER	Retry scenario	460	START	1555052738004	1555052738004
REQUEST	213		retry	1555052718004	1555052738010	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	213	END	1555052718004	1555052738011
USER	Retry scenario	461	START	1555052738064	1555052738064
REQUEST	214		retry	1555052718105	1555052738112	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	214	END	1555052718105	1555052738113
USER	Retry scenario	462	START	1555052738133	1555052738133
REQUEST	112		retry	1555052706276	1555052738142	OK	 
USER	Retry scenario	112	END	1555052706275	1555052738142
USER	Retry scenario	463	START	1555052738204	1555052738204
REQUEST	215		retry	1555052718205	1555052738212	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	215	END	1555052718205	1555052738213
USER	Retry scenario	464	START	1555052738265	1555052738265
REQUEST	216		retry	1555052718306	1555052738316	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	216	END	1555052718305	1555052738317
USER	Retry scenario	465	START	1555052738334	1555052738334
REQUEST	113		retry	1555052706406	1555052738379	OK	 
USER	Retry scenario	113	END	1555052706405	1555052738379
USER	Retry scenario	466	START	1555052738405	1555052738405
REQUEST	217		retry	1555052718405	1555052738412	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	217	END	1555052718405	1555052738413
USER	Retry scenario	467	START	1555052738464	1555052738464
REQUEST	218		retry	1555052718506	1555052738511	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	218	END	1555052718505	1555052738512
USER	Retry scenario	468	START	1555052738533	1555052738533
USER	Retry scenario	469	START	1555052738603	1555052738603
USER	Retry scenario	470	START	1555052738665	1555052738665
USER	Retry scenario	471	START	1555052738735	1555052738735
USER	Retry scenario	472	START	1555052738803	1555052738803
REQUEST	116		retry	1555052706826	1555052738844	OK	 
USER	Retry scenario	116	END	1555052706825	1555052738845
USER	Retry scenario	473	START	1555052738864	1555052738864
REQUEST	222		retry	1555052718905	1555052738917	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	222	END	1555052718905	1555052738917
USER	Retry scenario	474	START	1555052738935	1555052738935
USER	Retry scenario	475	START	1555052739005	1555052739005
REQUEST	223		retry	1555052719005	1555052739015	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	223	END	1555052719004	1555052739017
USER	Retry scenario	476	START	1555052739064	1555052739064
USER	Retry scenario	477	START	1555052739133	1555052739133
USER	Retry scenario	478	START	1555052739204	1555052739204
REQUEST	225		retry	1555052719206	1555052739213	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	225	END	1555052719205	1555052739215
USER	Retry scenario	479	START	1555052739265	1555052739265
REQUEST	117		retry	1555052706974	1555052739297	OK	 
USER	Retry scenario	117	END	1555052706973	1555052739298
REQUEST	226		retry	1555052719306	1555052739310	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	226	END	1555052719305	1555052739311
USER	Retry scenario	480	START	1555052739333	1555052739333
REQUEST	231		retry	1555052719765	1555052739774	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	231	END	1555052719765	1555052739774
REQUEST	120		retry	1555052707406	1555052739837	OK	 
USER	Retry scenario	120	END	1555052707405	1555052739837
REQUEST	121		retry	1555052707526	1555052739838	OK	 
USER	Retry scenario	121	END	1555052707525	1555052739838
REQUEST	233		retry	1555052719946	1555052739955	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	233	END	1555052719945	1555052739956
REQUEST	234		retry	1555052720035	1555052740045	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	234	END	1555052720034	1555052740047
REQUEST	237		retry	1555052720314	1555052740323	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	237	END	1555052720313	1555052740324
REQUEST	238		retry	1555052720405	1555052740414	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	238	END	1555052720405	1555052740414
REQUEST	135		retry	1555052709276	1555052740687	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Retry scenario	135	END	1555052709275	1555052740688
REQUEST	242		retry	1555052720804	1555052740810	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	242	END	1555052720803	1555052740812
REQUEST	243		retry	1555052720904	1555052740912	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	243	END	1555052720904	1555052740912
REQUEST	244		retry	1555052721007	1555052741017	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	244	END	1555052721004	1555052741018
REQUEST	245		retry	1555052721105	1555052741115	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	245	END	1555052721104	1555052741116
REQUEST	247		retry	1555052721305	1555052741309	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	247	END	1555052721304	1555052741310
REQUEST	248		retry	1555052721407	1555052741409	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	248	END	1555052721405	1555052741410
REQUEST	139		retry	1555052709776	1555052741524	OK	 
USER	Retry scenario	139	END	1555052709775	1555052741526
REQUEST	251		retry	1555052721675	1555052741682	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	251	END	1555052721674	1555052741683
REQUEST	252		retry	1555052721765	1555052741773	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	252	END	1555052721764	1555052741774
REQUEST	253		retry	1555052721854	1555052741859	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	253	END	1555052721853	1555052741860
REQUEST	130		retry	1555052708656	1555052741868	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Retry scenario	130	END	1555052708655	1555052741869
REQUEST	125		retry	1555052708026	1555052741894	OK	 
USER	Retry scenario	125	END	1555052708025	1555052741895
REQUEST	254		retry	1555052721945	1555052741952	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	254	END	1555052721945	1555052741952
REQUEST	372		retry	1555052731714	1555052742043	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
REQUEST	255		retry	1555052722035	1555052742043	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	372	END	1555052731714	1555052742045
USER	Retry scenario	255	END	1555052722034	1555052742045
REQUEST	143		retry	1555052710276	1555052742076	OK	 
USER	Retry scenario	143	END	1555052710276	1555052742077
REQUEST	256		retry	1555052722127	1555052742133	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	256	END	1555052722126	1555052742133
REQUEST	257		retry	1555052722224	1555052742227	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	257	END	1555052722223	1555052742227
REQUEST	259		retry	1555052722406	1555052742416	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	259	END	1555052722406	1555052742416
REQUEST	124		retry	1555052707904	1555052742420	OK	 
USER	Retry scenario	124	END	1555052707903	1555052742420
REQUEST	260		retry	1555052722496	1555052742505	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	260	END	1555052722495	1555052742506
REQUEST	261		retry	1555052722585	1555052742587	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	261	END	1555052722584	1555052742588
REQUEST	262		retry	1555052722675	1555052742686	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	262	END	1555052722675	1555052742687
REQUEST	129		retry	1555052708526	1555052742741	OK	 
USER	Retry scenario	129	END	1555052708525	1555052742741
REQUEST	263		retry	1555052722764	1555052742770	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	263	END	1555052722763	1555052742770
REQUEST	264		retry	1555052722854	1555052742865	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	264	END	1555052722853	1555052742866
REQUEST	265		retry	1555052722945	1555052742955	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	265	END	1555052722945	1555052742956
REQUEST	266		retry	1555052723037	1555052743044	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	266	END	1555052723036	1555052743056
REQUEST	267		retry	1555052723134	1555052743139	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	267	END	1555052723133	1555052743140
REQUEST	134		retry	1555052709156	1555052743203	OK	 
REQUEST	128		retry	1555052708406	1555052743204	OK	 
USER	Retry scenario	134	END	1555052709155	1555052743204
USER	Retry scenario	128	END	1555052708405	1555052743204
REQUEST	268		retry	1555052723225	1555052743234	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	268	END	1555052723224	1555052743234
REQUEST	269		retry	1555052723315	1555052743324	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	269	END	1555052723314	1555052743325
REQUEST	271		retry	1555052723485	1555052743494	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	271	END	1555052723483	1555052743495
REQUEST	133		retry	1555052709026	1555052743649	OK	 
USER	Retry scenario	133	END	1555052709025	1555052743650
REQUEST	138		retry	1555052709654	1555052743805	OK	 
USER	Retry scenario	138	END	1555052709653	1555052743806
REQUEST	275		retry	1555052723816	1555052743820	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	275	END	1555052723815	1555052743821
REQUEST	276		retry	1555052723905	1555052743910	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	276	END	1555052723905	1555052743911
REQUEST	277		retry	1555052723985	1555052743997	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	277	END	1555052723984	1555052743998
REQUEST	132		retry	1555052708905	1555052744207	OK	 
USER	Retry scenario	132	END	1555052708904	1555052744207
REQUEST	280		retry	1555052724235	1555052744243	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	280	END	1555052724234	1555052744243
REQUEST	282		retry	1555052724404	1555052744409	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	282	END	1555052724403	1555052744410
REQUEST	283		retry	1555052724496	1555052744505	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	283	END	1555052724495	1555052744506
REQUEST	284		retry	1555052724585	1555052744594	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	284	END	1555052724585	1555052744594
REQUEST	142		retry	1555052710156	1555052744787	OK	 
USER	Retry scenario	142	END	1555052710155	1555052744788
REQUEST	287		retry	1555052724855	1555052744861	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	287	END	1555052724855	1555052744862
REQUEST	288		retry	1555052724946	1555052744951	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	288	END	1555052724946	1555052744951
REQUEST	290		retry	1555052725136	1555052745143	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	290	END	1555052725135	1555052745144
REQUEST	292		retry	1555052725317	1555052745327	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	292	END	1555052725316	1555052745328
REQUEST	293		retry	1555052725405	1555052745410	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	293	END	1555052725405	1555052745411
REQUEST	294		retry	1555052725486	1555052745494	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	294	END	1555052725484	1555052745495
REQUEST	136		retry	1555052709404	1555052745524	OK	 
USER	Retry scenario	136	END	1555052709404	1555052745525
REQUEST	297		retry	1555052725735	1555052745740	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	297	END	1555052725735	1555052745741
REQUEST	298		retry	1555052725815	1555052745824	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	298	END	1555052725815	1555052745825
REQUEST	146		retry	1555052710653	1555052745960	OK	 
USER	Retry scenario	146	END	1555052710653	1555052745961
REQUEST	300		retry	1555052725984	1555052745992	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	300	END	1555052725984	1555052745994
REQUEST	301		retry	1555052726065	1555052746071	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	301	END	1555052726065	1555052746073
REQUEST	147		retry	1555052710774	1555052746099	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Retry scenario	147	END	1555052710774	1555052746100
REQUEST	302		retry	1555052726155	1555052746165	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	302	END	1555052726155	1555052746166
REQUEST	304		retry	1555052726316	1555052746322	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	304	END	1555052726315	1555052746323
REQUEST	305		retry	1555052726405	1555052746410	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	305	END	1555052726404	1555052746411
REQUEST	306		retry	1555052726485	1555052746495	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	306	END	1555052726484	1555052746496
REQUEST	308		retry	1555052726655	1555052746665	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	308	END	1555052726655	1555052746665
REQUEST	309		retry	1555052726736	1555052746744	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	309	END	1555052726735	1555052746744
REQUEST	150		retry	1555052711154	1555052746906	OK	 
USER	Retry scenario	150	END	1555052711154	1555052746907
REQUEST	311		retry	1555052726906	1555052746911	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	311	END	1555052726905	1555052746912
REQUEST	312		retry	1555052726985	1555052746996	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	312	END	1555052726984	1555052746997
REQUEST	313		retry	1555052727064	1555052747072	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	313	END	1555052727063	1555052747073
REQUEST	314		retry	1555052727153	1555052747162	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	314	END	1555052727153	1555052747162
REQUEST	316		retry	1555052727315	1555052747321	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	316	END	1555052727314	1555052747322
REQUEST	318		retry	1555052727485	1555052747489	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	318	END	1555052727484	1555052747490
REQUEST	319		retry	1555052727555	1555052747565	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	319	END	1555052727554	1555052747566
REQUEST	137		retry	1555052709524	1555052747672	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Retry scenario	137	END	1555052709523	1555052747673
REQUEST	322		retry	1555052727786	1555052747797	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	322	END	1555052727785	1555052747798
REQUEST	324		retry	1555052727945	1555052747952	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/0:0:0:0:0:0:0:1:8081
USER	Retry scenario	324	END	1555052727945	1555052747952
REQUEST	325		retry	1555052728015	1555052748024	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	325	END	1555052728015	1555052748025
REQUEST	326		retry	1555052728095	1555052748101	KO	i.n.c.ConnectTimeoutException: connection timed out: localhost/127.0.0.1:8081
USER	Retry scenario	326	END	1555052728095	1555052748102
